longitude,latitude,class,coastal_proximity,prec_winter,diurnal_temp_range,tmax_summer,annual_temp_range,summer_heat_index,ph_carbon_interaction,tmin_winter,ORG_CARBON,tmax_spring,elevation,lat_long_interaction,TOTAL_N,tmin_summer,SAND,fertility_index,roughness,fine_fraction,REF_BULK,terrain_complexity
9.23018,35.09261,0,0.26383371759724306,-0.6553539585181549,0.4010391437104692,0.8969433426082306,-0.7605627739158325,0.22610061244645033,0.3166872267189376,0.5748516562766162,-0.47953042991888467,0.8868392064673725,-0.16212513958937164,1.114065003961668,-0.24405942809259779,0.6088514608833303,1.54496053570947,-0.052968155223560597,-0.6623602527164923,-1.0596023381521875,-0.7775671668954871,-0.37671085853716396
5.60547,33.50662,0,1.6105683459779794,-1.0685786071123096,0.8029073289683326,2.1125985912202556,1.2824419720076108,2.0264983434412787,-0.9364664997584591,0.531322532773455,-0.6697189000859674,2.2743365586312856,-0.8879187238154853,-0.019827873084832248,-0.7603854866267332,2.133825353311067,0.894204081098602,0.5098857012990673,-0.7142022204547969,-0.6221507285053705,-0.893355028219238,-0.35498051511837536
11.11005,33.48151,1,1.6318903634677728,-1.1868313152857233,1.1114041936568855,-0.1976726388259751,2.150990635981136,0.9851271911259228,1.3355054022929387,-2.2835607870976085,-1.6733632243243528,-0.1250038407438666,-1.1787168155087295,1.5145800387766915,-2.666820309973753,-0.2397227211933936,0.24344762648773416,4.064224412523174,-0.7410744790555198,-4.011641716300678,-0.5459942048154469,-0.2771747126410521
7.48122,36.53608,0,-0.9618808417812748,1.1705918082086435,-0.5138585288526855,-0.6765671307034393,-0.594130095063084,-0.7365413237341738,0.7866454503886434,0.36446089267800574,0.40037700328905784,-0.6278958941482521,-0.26546661019110296,0.6926659980939288,0.510570983359915,-0.6824570770595093,-1.0580652827340022,-0.8126860081331122,0.3291415273613818,1.0288672958681038,0.8434449479485243,-0.411543718752388
4.54391,36.71546,1,-1.1142003757247037,1.90156685561009,-1.7400763676615607,-1.5659426156187317,-2.1151291809379584,-1.5181044681464395,0.7866454503886434,-0.43357303821327553,0.40037700328905784,-1.6215621201521033,0.91454878667983,-0.19470259256837905,0.510570983359915,-0.7992897543019579,-1.0580652827340022,-0.8126860081331122,2.320252694868422,1.0288672958681038,0.8434449479485243,3.0797463483119505
4.86043,36.09051,1,-0.583527542978887,-0.3482182197928804,-0.13064305525930733,-0.034532756977606306,-0.0332017764494168,-0.4425255505125322,-0.4693371878658376,-0.9196482506652376,-0.3603764676404483,-0.7672515234048903,1.1933304283031054,-0.12318457080965055,-0.24405942809259779,-0.31351178050441325,-0.5157682372249452,-0.12549180027704634,-0.044948696354032716,0.7258994142714571,1.1908043910685844,-0.6804444788053833
4.07055,34.12395,0,1.0863659940474615,-0.9877926737933521,0.8818412874149448,1.265323720975513,1.1035272957869828,1.1397486862742525,-0.9364664997584591,-0.36102449904134076,-0.6697189000859674,1.0928431801510974,0.09262360189396625,-0.4273997279401489,-0.7603854866267332,1.1007785229567952,0.894204081098602,0.5098857012990673,-0.5228404278786926,-0.6221507285053705,-0.893355028219238,-0.44537298009846105
8.61479,36.75546,1,-1.14816615428272,2.46144551571352,-1.0596462044948491,-1.0870481237412677,-0.4653998020054929,-1.1101447995564768,1.4467747292784343,0.5240676788562613,1.3123643914426122,-0.7854283446122791,-0.6788324925980288,1.0534877002047984,1.6623751585203261,-0.5963698411966537,-0.08193060081769993,-0.7856289821819149,0.5308526407026252,0.09560181240722321,-0.5459942048154469,-0.8401425597960324
3.24131,36.73895,1,-1.1341467791829012,0.6254015053383098,-0.11954685113994915,-0.902857934557625,0.942432472586883,-0.38274546745520616,0.7866454503886434,0.8505361051299674,0.40037700328905784,-0.015942913499540717,-1.154683915368792,-0.5925453961858,0.510570983359915,-0.3934499280913503,-1.0580652827340022,-0.8126860081331122,-0.8074825948299035,1.0288672958681038,0.8434449479485243,-0.2149740391814275
-0.56537,34.28301,0,0.9513010756115098,-0.7361972656954171,1.2990327068471916,0.14965743220603198,0.7853757373911575,-0.5781991716051839,-0.9433868453997455,-1.2533715308561368,-0.6743016922583654,-0.10682701953647793,1.539404190318206,-1.7462194879810624,-0.2837767807899783,-0.44264263429869616,-0.08193060081769993,0.10006896196579104,-0.6120307656393968,0.09560181240722321,-0.5459942048154469,-0.432457847002691
7.17928,34.43378,1,0.823275564781703,-1.0311692083048931,0.6045565419614923,1.786318827523523,0.35643663417099924,1.5989157873256663,-0.9364664997584591,0.9230846443019016,-0.6697189000859674,2.062273644545097,-1.0032766444871857,0.47499789539715565,-0.7603854866267332,1.746432791928215,0.894204081098602,0.5098857012990673,-0.8213262866369455,-0.6221507285053705,-0.893355028219238,-0.18006774507731085
2.88642,36.47662,1,-0.9113907119547814,1.4291297469991118,-2.072208132915715,-1.5343671546158226,-2.2032831532630834,-1.2413712260073153,0.7866454503886434,-0.12886917369115036,0.40037700328905784,-1.5125011929077774,-0.26306332017710926,-0.7074877906520751,0.510570983359915,-0.5840716646448177,-1.0580652827340022,-0.8126860081331122,1.53929268984764,1.0288672958681038,0.8434449479485243,1.090849724625839
1.63305,33.01781,0,2.025638651401587,-0.9846943439979029,1.3479487658679776,1.0074574561184153,1.431249116373003,0.894335355126199,-0.9364664997584591,-0.8325900036589164,-0.6697189000859674,0.8928981468698344,0.8592731163579738,-1.1354727898723571,-0.7603854866267332,0.670342343642513,0.894204081098602,0.5098857012990673,-0.711941394851852,-0.6221507285053705,-0.893355028219238,-0.3111943525806916
9.29466,37.03559,1,-1.386036992969152,1.5578249882077917,-0.858956183638791,-0.6028910550299842,-0.6397949140282758,-0.5586281260397729,1.4467747292784343,0.7054390267860986,1.3123643914426122,-0.4885402648916154,-0.7605443530738164,1.2833865420974042,1.6623751585203261,-0.35040631015992213,-0.08193060081769993,-0.7856289821819149,0.1775747183401325,0.09560181240722321,-0.5459942048154469,-0.720715865914329
6.22853,36.65769,1,-1.0651453000422892,2.9672182337803736,-1.2292065046004088,-1.5501548851172773,-1.339131374923539,-1.662077302304618,0.7559169674338188,-0.35376964512414755,2.480991419161065,-1.5730905969324038,0.49397303423092315,0.31763997980451897,1.7020925112177063,-1.2420241101680733,0.24344762648773416,-0.2804103977996831,2.320252694868422,-0.246274245300921,-1.3565009523793181,3.0797463483119505
