longitude,latitude,lat_long_interaction,summer_precip_ratio,coastal_proximity,sand_clay_ratio,total_annual_precip
6.79057,31.18797,0.5402575837735074,-0.06009516333057967,-0.23559558194065033,0.568154430404987,0.12671062793526067
-0.43306,25.84771,-1.2472469340336816,0.011056869611833406,1.0891139304237294,-0.6348707923031538,-1.4733584595400375
5.10321,31.78166,0.1426735525559643,0.057720267663707074,-0.3828668365978406,-0.46380817864930185,-0.1671814616640617
-5.79674,26.96358,-2.410501680595476,0.007326123606931225,0.8123102535312107,-0.18267803767206223,-0.7270335063368633
1.15174,27.4036,-0.9044972952553332,0.012039031647482802,0.7031585119248891,-0.6348707923031538,-1.2100043224173607
7.75872,32.25707,0.8488091555614757,-0.02110998052904037,-0.5007974521995434,0.568154430404987,0.3761584602815565
6.04964,31.35807,0.36326043582672257,0.07157855432130504,-0.27779073499559204,-0.46380817864930185,-0.12320665884389831
5.75923,30.98268,0.2729250771478689,0.037563912014901744,-0.18467116706323136,0.568154430404987,-0.2428803976666951
2.51493,23.58385,-0.6820396764006132,-0.017600046181256886,1.6506889991771647,-0.6010686283007015,-0.7298056425153832
9.38562,26.79776,0.8587497812771857,0.01208816258155718,0.8534437060860042,-0.6348707923031538,-0.7180638584058234
-0.93443,24.37176,-1.3400789562950972,0.003222509319488854,1.4552393634127985,-0.6348707923031538,-1.3242384347794254
-7.42401,28.09703,-2.829699529148853,-0.002798684846919179,0.5311456666404215,-0.46380817864930185,1.123312406926567
9.66128,34.13653,1.4863547297690483,0.006121120458734333,-0.96701792463129,-0.7787844582486909,3.311191635393268
-0.69384,26.53475,-1.3051042338562888,0.011599587056202466,0.9186861940635478,0.568154430404987,-1.3908397336521452
6.46943,32.13612,0.5091397529089671,-0.0267659329412969,-0.4707944906357858,-0.49702491786618946,0.18597825527002085
5.66594,28.89503,0.1549309764113658,0.033066503159050416,0.33319309675304287,0.568154430404987,-0.39939403684089464
9.46525,27.59744,0.9365346598203288,0.021195151994019647,0.655074393946231,0.568154430404987,-0.6149249686960806
-7.50526,27.66226,-2.821841914041656,-0.015684102665543702,0.6389950887080103,-0.46380817864930185,0.2593380753264778
3.21002,21.37221,-0.6075382596389393,0.4184846014560185,2.1993103295853396,0.568154430404987,0.13178901820990319
6.69918,32.57674,0.5919909860493534,-0.00988294325185082,-0.5800950687608203,0.568154430404987,0.41909178445491163
6.93087,36.72524,0.8829939083943492,0.21698346597258195,-1.6091755652242183,-0.4665975876997793,-0.02609446179158054
5.895,36.41176,0.5632107294851947,0.21698346597258195,-1.5314134454143244,-0.4665975876997793,-0.02609446179158054
9.07845,27.74726,0.8618643611072879,0.022637618253577983,0.6179099152237655,-0.6348707923031538,-0.573086712031802
9.78915,25.04393,0.8078063809154404,-0.014563526900702025,1.2885002921080368,-0.6010686283007015,-0.4478120288089301
7.06207,36.49974,0.908854027072862,0.21698346597258195,-1.5532378402748408,-0.4665975876997793,-0.02609446179158054
