longitude,latitude,ELEC_COND,TEXTURE_SOTER_V,country,TEXTURE_SOTER_F,summer_precip_ratio,sand_clay_ratio,TEXTURE_SOTER_M,aspect_cardinal,BULK,fertility_index,ESP,lat_long_interaction,moisture_retention,nutrient_availability,CEC_SOIL
6.79057,31.18797,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.06009516333057967,0.568154430404987,0.3655230676086381,-0.8052977659912901,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.5402575837735074,-0.4972840767100398,0.019491838097643002,0.5368771247153884
-0.43306,25.84771,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.011056869611833406,-0.6348707923031538,0.3655230676086381,0.13930498505720035,0.15196024349306478,0.8010642136770774,0.8596001569563672,-1.2472469340336816,0.5893256871407443,-0.8449118856489284,-0.33474857915083733
5.10321,31.78166,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.057720267663707074,-0.46380817864930185,0.3655230676086381,0.13930498505720035,0.5569079698839476,0.36015877304154365,-0.5681455880245553,0.1426735525559643,0.03106652447018292,-0.4369387598284949,-0.04420667786209536
-5.79674,26.96358,-2.8182212139088008,0.0,-0.17997014195997937,-0.1211097467196945,0.007326123606931225,-0.18267803767206223,-2.7358054487294097,-0.8052977659912901,-0.657930381959794,4.637955538279284,-0.5681455880245553,-2.410501680595476,4.764516490973755,-2.3942324967621755,-2.949625690749515
1.15174,27.4036,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.012039031647482802,-0.6348707923031538,0.3655230676086381,-0.8052977659912901,0.15196024349306478,0.8010642136770774,0.8596001569563672,-0.9044972952553332,0.5893256871407443,-0.8449118856489284,-0.33474857915083733
7.75872,32.25707,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.02110998052904037,0.568154430404987,0.3655230676086381,0.13930498505720035,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.8488091555614757,-0.4972840767100398,0.019491838097643002,0.5368771247153884
6.04964,31.35807,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.07157855432130504,-0.46380817864930185,0.3655230676086381,0.13930498505720035,0.5569079698839476,0.36015877304154365,-0.5681455880245553,0.36326043582672257,0.03106652447018292,-0.4369387598284949,-0.04420667786209536
5.75923,30.98268,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.037563912014901744,0.568154430404987,0.3655230676086381,-0.8052977659912901,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.2729250771478689,-0.4972840767100398,0.019491838097643002,0.5368771247153884
2.51493,23.58385,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.017600046181256886,-0.6010686283007015,-2.7358054487294097,0.13930498505720035,-1.0628756946862232,1.0881011855209115,0.8596001569563672,-0.6820396764006132,1.3316427173896734,1.9679036494715763,-2.3685418881720315
9.38562,26.79776,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.01208816258155718,-0.6348707923031538,0.3655230676086381,1.0839077361056908,0.15196024349306478,0.8010642136770774,0.8596001569563672,0.8587497812771857,0.5893256871407443,-0.8449118856489284,-0.33474857915083733
-0.93443,24.37176,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.003222509319488854,-0.6348707923031538,0.3655230676086381,-0.8052977659912901,0.15196024349306478,0.8010642136770774,0.8596001569563672,-1.3400789562950972,0.5893256871407443,-0.8449118856489284,-0.33474857915083733
-7.42401,28.09703,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.002798684846919179,-0.46380817864930185,0.3655230676086381,-0.8052977659912901,0.5569079698839476,0.36015877304154365,-0.5681455880245553,-2.829699529148853,0.03106652447018292,-0.4369387598284949,-0.04420667786209536
9.66128,34.13653,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.006121120458734333,-0.7787844582486909,0.3655230676086381,-0.8052977659912901,-2.0752389765022965,-0.021883788910597952,-1.995891333005478,1.4863547297690483,0.6281813212740235,-0.545595308259318,-0.33474857915083733
-0.69384,26.53475,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.011599587056202466,0.568154430404987,0.3655230676086381,-0.8052977659912901,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,-1.3051042338562888,-0.4972840767100398,0.019491838097643002,0.5368771247153884
6.46943,32.13612,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.0267659329412969,-0.49702491786618946,0.3655230676086381,2.0285104871541813,-0.05051241287015005,0.6640217004866822,2.2873459019372904,0.5091397529089671,0.8835909282191631,-0.4214248587943521,-0.04420667786209536
5.66594,28.89503,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.033066503159050416,0.568154430404987,0.3655230676086381,2.0285104871541813,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.1549309764113658,-0.4972840767100398,0.019491838097643002,0.5368771247153884
9.46525,27.59744,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.021195151994019647,0.568154430404987,0.3655230676086381,0.13930498505720035,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.9365346598203288,-0.4972840767100398,0.019491838097643002,0.5368771247153884
-7.50526,27.66226,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.015684102665543702,-0.46380817864930185,0.3655230676086381,0.13930498505720035,0.5569079698839476,0.36015877304154365,-0.5681455880245553,-2.821841914041656,0.03106652447018292,-0.4369387598284949,-0.04420667786209536
3.21002,21.37221,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.4184846014560185,0.568154430404987,0.3655230676086381,1.0839077361056908,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,-0.6075382596389393,-0.4972840767100398,0.019491838097643002,0.5368771247153884
6.69918,32.57674,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.00988294325185082,0.568154430404987,0.3655230676086381,-0.8052977659912901,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.5919909860493534,-0.4972840767100398,0.019491838097643002,0.5368771247153884
6.93087,36.72524,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.21698346597258195,-0.4665975876997793,0.3655230676086381,0.13930498505720035,1.1643259389735918,-0.9893934447079527,0.8596001569563672,0.8829939083943492,-1.1652839331156701,0.7492640293061732,0.8274190260041304
5.895,36.41176,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.21698346597258195,-0.4665975876997793,0.3655230676086381,-0.8052977659912901,1.1643259389735918,-0.9893934447079527,0.8596001569563672,0.5632107294851947,-1.1652839331156701,0.7492640293061732,0.8274190260041304
9.07845,27.74726,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.022637618253577983,-0.6348707923031538,0.3655230676086381,2.0285104871541813,0.15196024349306478,0.8010642136770774,0.8596001569563672,0.8618643611072879,0.5893256871407443,-0.8449118856489284,-0.33474857915083733
9.78915,25.04393,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.014563526900702025,-0.6010686283007015,-2.7358054487294097,0.13930498505720035,-1.0628756946862232,1.0881011855209115,0.8596001569563672,0.8078063809154404,1.3316427173896734,1.9679036494715763,-2.3685418881720315
7.06207,36.49974,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.21698346597258195,-0.4665975876997793,0.3655230676086381,2.0285104871541813,1.1643259389735918,-0.9893934447079527,0.8596001569563672,0.908854027072862,-1.1652839331156701,0.7492640293061732,0.8274190260041304
5.22143,20.39875,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.20374182262595375,-0.6010686283007015,-2.7358054487294097,-0.8052977659912901,-1.0628756946862232,1.0881011855209115,0.8596001569563672,-0.30366879096450733,1.3316427173896734,1.9679036494715763,-2.3685418881720315
9.27588,28.78715,2.412385585089505,0.0,-0.17997014195997937,-0.1211097467196945,0.06957612123488635,1.6920559916996183,0.3655230676086381,-0.8052977659912901,1.3667985953368065,-0.0580182418558487,-0.5681455880245553,0.9831064541591273,-0.41452232895532704,0.3190882161932502,0.5368771247153884
6.89649,29.98888,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.0657074476708601,0.568154430404987,0.3655230676086381,0.13930498505720035,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.5004469002934354,-0.4972840767100398,0.019491838097643002,0.5368771247153884
5.64467,30.8816,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.026790940559515967,0.568154430404987,0.3655230676086381,-0.8052977659912901,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.23989751609419208,-0.4972840767100398,0.019491838097643002,0.5368771247153884
4.0981,31.79996,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.04140824891236147,-0.46380817864930185,0.3655230676086381,2.0285104871541813,0.5569079698839476,0.36015877304154365,-0.5681455880245553,-0.11280537744900547,0.03106652447018292,-0.4369387598284949,-0.04420667786209536
6.97794,32.36055,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.01203672184806,0.568154430404987,0.3655230676086381,-0.8052977659912901,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.6526963101875699,-0.4972840767100398,0.019491838097643002,0.5368771247153884
1.30589,35.67727,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.04888166808339026,-0.4665975876997793,0.3655230676086381,-0.8052977659912901,1.1643259389735918,-0.9893934447079527,0.8596001569563672,-0.7840189240521003,-1.1652839331156701,0.7492640293061732,0.8274190260041304
6.78813,31.18635,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.06009516333057967,0.568154430404987,0.3655230676086381,-0.8052977659912901,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.5395593818897635,-0.4972840767100398,0.019491838097643002,0.5368771247153884
6.04228,31.66465,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-1.8153773482273756,-0.46380817864930185,0.3655230676086381,-0.8052977659912901,0.5569079698839476,0.36015877304154365,-0.5681455880245553,0.37626039482978074,0.03106652447018292,-0.4369387598284949,-0.04420667786209536
-0.58632,25.67554,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.011346566952779078,-0.6348707923031538,0.3655230676086381,2.0285104871541813,0.15196024349306478,0.8010642136770774,0.8596001569563672,-1.2781944835692385,0.5893256871407443,-0.8449118856489284,-0.33474857915083733
9.26195,26.53673,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.011283417057629317,-0.6348707923031538,0.3655230676086381,-0.8052977659912901,0.15196024349306478,0.8010642136770774,0.8596001569563672,0.8128013047494719,0.5893256871407443,-0.8449118856489284,-0.33474857915083733
6.78873,31.19133,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,-0.06009516333057967,0.568154430404987,0.3655230676086381,-0.8052977659912901,-0.8604030383230085,-1.0767380501170265,-0.5681455880245553,0.5399804068342967,-0.4972840767100398,0.019491838097643002,0.5368771247153884
0.21127,21.73204,-0.2029178144096488,0.0,-0.17997014195997937,-0.1211097467196945,0.01120506949469667,-0.46380817864930185,0.3655230676086381,2.0285104871541813,0.5569079698839476,0.36015877304154365,-0.5681455880245553,-1.1207067170524303,0.03106652447018292,-0.4369387598284949,-0.04420667786209536
-4.57364,29.8514,2.412385585089505,0.0,-0.17997014195997937,-0.1211097467196945,0.013762203906641183,-0.5003209314217819,0.3655230676086381,-0.8052977659912901,0.9618532826103771,-0.08662206864751422,3.715091646918212,-2.2520046752504435,-0.6267160810881792,0.3790074918123716,0.5368771247153884
