longitude,latitude,class,elevation,slope,aspect,roughness
6.79057,31.18797,1,-0.822192825255173,-0.621059313440563,-1.5843420677567395,-0.6065613706717122
-0.43306,25.84771,0,-0.5559925462157329,-0.8471483865677195,-0.7262696947924171,-0.6717680940403498
5.10321,31.78166,1,-0.629758888600156,-0.6375518548422301,-0.47299487299090054,-0.8861704733780815
-5.79674,26.96358,0,-0.03321368496960376,1.0295657895223194,-0.7867179827160653,-0.06552834186978573
1.15174,27.4036,0,-0.2577199444004568,-0.23152443731898228,-1.014738745786906,0.8618666526863042
7.75872,32.25707,0,-0.9697255100240193,-0.8903285944738399,-0.47299487299090054,-0.9630751827792247
6.04964,31.35807,1,-0.86388684486376,-1.0167200866692545,-0.7262696947924171,-0.42899273209403455
5.75923,30.98268,1,-0.7740843410914188,0.17141521137889884,1.8219543300551595,-0.2318941954980095
2.51493,23.58385,0,0.11431899979924252,-0.6775804439060538,-0.7262696947924171,-0.8607811501323941
9.38562,26.79776,0,0.4671145503334401,0.11498756707578442,0.15909315744103916,-0.33187307614648115
-0.93443,24.37176,0,-0.44373941650030646,-0.2797874293950389,0.9479374156552752,-0.4232689256108288
-7.42401,28.09703,0,0.03413819285965215,-0.5304961482130738,-1.2455209623193748,-0.7940127435607717
9.66128,34.13653,0,-1.0242484587429408,0.462240528028395,0.9271219331946631,-0.18696021876423866
-0.69384,26.53475,0,-0.5848576367139855,0.33953714829038634,0.9898750511362274,0.06469168603489868
6.46943,32.13612,1,-0.9248242581378486,-0.29290713929732853,0.5003905767304181,-0.6464880270594274
5.66594,28.89503,0,-0.33790075134004716,-0.8903285944738399,0.7366002293347108,-0.9505446992531651
9.46525,27.59744,0,0.22977936179225264,0.33953714829038634,-0.7262696947924171,0.8102140500606919
-7.50526,27.66226,0,-0.06528600774543991,-0.7285056615118822,-0.6184392051175075,-0.41196722262381336
3.21002,21.37221,0,0.476736247166191,-0.357578289143063,-0.16341007006934893,-0.4397570822261728
6.69918,32.57674,1,-0.9761399745791864,-0.41588851666396043,-1.191669801154387,-0.5877965954503136
6.93087,36.72524,0,-1.1268798916256164,1.024105329723853,-0.32932975383652835,0.17391900376387048
5.895,36.41176,1,0.18487810990608206,-0.1937885216355537,0.837849376765064,-0.44226668687984266
9.07845,27.74726,1,0.1495985548526623,-0.4834922160232869,0.6847312976344149,-0.48563663081353686
9.78915,25.04393,0,2.199019980228592,-1.0167200866692545,-0.7262696947924171,-1.053137932530652
7.06207,36.49974,0,1.1278043995156648,2.094084888091876,0.33730163098562155,2.1187945660262275
5.22143,20.39875,0,0.42542053072485314,-0.33612029095441376,0.9444578395416277,-0.4257158900060333
9.27588,28.78715,1,0.7557654553159655,-0.5862556032797525,1.6267687023459128,-0.5943376857859045
