longitude,latitude,class,prec_winter,tmax_winter,tmin_winter,prec_spring,tmax_spring,tmin_spring,prec_summer,tmax_summer,tmin_summer,prec_autumn,tmax_autumn,tmin_autumn
6.79057,31.18797,1,0.5677791296957048,0.15788518968225673,0.15054399855798528,0.43592643209114323,0.34082276874683054,0.4769291367594262,-0.4675430705710748,0.8459243169679758,0.8238347737749012,-0.1733313388992622,0.6383686061199245,0.6995988541248767
-0.43306,25.84771,0,-1.6461851518470132,1.3257628400951837,2.21061034456644,-1.3318519082286564,1.001356379845756,1.6217457578180463,-0.6545742796393921,0.7694929407051255,1.398954047953539,-0.585967511006418,1.1862922184645315,2.1592666569875925
5.10321,31.78166,1,-0.025614732564111186,-0.5978003488202316,-0.33417749462047464,-0.20644222541327512,-0.3660640782186825,-0.05627312510349239,-0.5274889646468971,0.49074321551121386,0.6359245158749509,0.28088831070963177,-0.2484768282935079,-0.2084503023071624
-5.79674,26.96358,0,-0.9073389310670877,1.402094712671196,1.825036429538121,-1.3225788705304153,0.885473290179277,1.1983204322210221,-0.16541572932724774,0.9538274363978788,1.142712787180882,0.31367528749840357,0.8982086697060246,1.1493802119837346
1.15174,27.4036,0,-1.3012186191334552,0.7227410467447192,0.6132326965919692,-1.182640286281537,0.6363246473963522,0.6180709119584353,-0.6066175483714521,0.8279404637296582,0.943414028802142,-0.3740516577516259,0.8925599726715463,0.9966242791260096
7.75872,32.25707,0,0.5330250226932695,-0.10927636433377647,0.2056259864191737,1.0749230948895832,0.027938426647342238,0.22601042529452162,-0.5358813940480083,0.6256221147985898,0.5277337613264939,0.004997834884580252,0.32204157218901996,0.45349207340965236
6.04964,31.35807,1,0.31549019826489144,-0.010044929984964018,0.04038002283560774,-0.05975960552527002,0.16120397976379106,0.32794615182713976,-0.4879246770722845,0.7964687205626054,0.8010577728173308,-0.1205523384346449,0.36723114846486327,0.4195463105523791
5.75923,30.98268,1,0.10439127365791738,-0.04821086627296818,-0.11384954317572024,-0.12214189348224286,0.12643905286384843,0.14759832796173972,-0.4819300899514569,0.7335252342284951,0.7555037709021916,-0.19572245727550097,0.36158245143038187,0.3177090219805616
2.51493,23.58385,0,-1.1827972804647426,2.4783741159929167,1.428446116937561,-1.1404901112715746,1.5633893647281754,1.0885434959551268,0.8908310581782218,0.38733605939088844,0.37398900486289915,-0.6571392498977958,1.5704036168092048,1.2342446191269179
9.38562,26.79776,0,-0.20710835472732225,0.699841484971917,-0.46637426548732663,-0.5234115386743645,0.5899714115297584,0.3985170394266433,-0.36203829322448267,0.059130737791601655,-0.01891426165518308,-0.9634176440364662,0.49150248322343193,0.02068359697942522
-0.93443,24.37176,0,-1.862432831910312,1.7379549520056334,2.441954693583432,-1.2888587325323226,1.3779764212618093,1.7001578551508272,0.014421961475548872,0.7784848673242879,1.1939610393354116,-0.6547402009556009,1.4743757672230353,2.3205090305596414
-7.42401,28.09703,0,2.0647794732669498,0.936470289957544,1.0208394067647655,-1.1455481374984502,0.022144272164017438,0.17896316689485436,-0.40519933135652586,0.18501771045981988,0.32843500294775535,2.702326783089674,0.09609369080980044,0.08857512269397284
9.66128,34.13653,0,0.31549019826489144,-0.8649619028362617,0.5030687208695924,4.289295378441157,-1.9710448700994008,-1.271660633761616,0.5215642445657432,-1.3166340349396606,-1.1235988080973223,4.354470833031047,-1.0054022309138917,-0.28482826873602385
-0.69384,26.53475,0,-1.6719289229908443,1.0509680988215566,1.6487740683823155,-1.3529269987484531,0.9839739163957831,1.3865094658196997,-0.6617677807542534,0.9043718399925085,1.3477057957990093,-0.2956827777534391,1.0902643688783635,1.794349706271913
6.46943,32.13612,1,0.23568451631192594,-0.3001060457737973,0.10647840826903486,0.5227557982393212,-0.09953297198578177,0.14759832796173972,-0.3260707533488575,0.6031422982506969,0.7099497689870539,0.10016007654404518,0.0791475997063594,0.36014122555215206
5.66594,28.89503,0,0.4403475165463217,0.25711662403106716,-0.9951613489547377,-0.2410053721372474,0.11485074389720346,-0.37776272416789947,-0.6881439800931771,0.44128761910584113,0.0949707431326673,-0.6547402009556013,0.5366920594992782,-0.09812657302102662
9.46525,27.59744,0,-0.14918486965370237,0.4250467436982838,-0.6206038314986554,-0.09263677499502251,0.4567058584133081,0.2416928447610784,-0.6353915871322161,0.1625378939119271,-0.024608511894574917,-0.8834493872727975,0.3559337543959035,-0.12358589516398043
-7.50526,27.66226,0,0.27816174729215776,0.7990729193207274,1.461495309654275,-1.1801112822125457,-0.17485698026899493,0.3201049420938603,-0.28770537405139185,0.009675141386228919,0.4935682598901383,1.9322326103040361,-0.016880249879808552,0.4534920734096501
3.21002,21.37221,0,-1.6860880035646344,2.3715094943865043,2.3758563081500044,-1.0511317430642821,1.4648887385116676,1.7707287427503329,3.178366499367672,-0.32752210683221783,0.0721937421750954,-0.06377486078437747,0.9659930341197919,1.005110719840329
6.69918,32.57674,1,0.4416346823936779,-0.47566935269861804,-0.06978395288676835,0.8203360072792799,-0.3660640782186809,0.006456552762732715,-0.32367290963935225,0.3963279860100484,0.45940275845378276,0.2616959458643569,-0.06206982615565335,0.0546293598366996
