longitude,latitude,class,elevation,slope,aspect,roughness
9.23018,35.09261,0,-0.1621251395893717,-0.6111476853615682,0.935253936248918,-0.6623602527164923
5.60547,33.50662,0,-0.8879187238154853,-0.6089681626537242,-1.449700691447852,-0.7142022204547969
11.11005,33.48151,1,-1.1787168155087295,-0.732442841913378,-0.4976268541048551,-0.7410744790555198
7.48122,36.53608,0,-0.26546661019110307,1.0831462481958245,1.357916448396306,0.32914152736138186
4.54391,36.71546,1,0.9145487866798301,2.239737741246075,0.214709517389097,2.320252694868422
4.86043,36.09051,1,1.1933304283031054,0.36240858921711966,-0.3459313923692522,-0.04494869635403278
4.07055,34.12395,0,0.09262360189396623,-0.5921658634857307,0.7586579791393404,-0.5228404278786926
8.61479,36.75546,1,-0.6788324925980288,-0.44775469613680446,0.14668030595532477,0.5308526407026252
3.24131,36.73895,1,-1.154683915368792,-0.7789992891133342,0.861620286288034,-0.8074825948299035
-0.56537,34.28301,0,1.539404190318206,-0.5351259010477922,0.5662433119500448,-0.6120307656393968
7.17928,34.43378,1,-1.0032766444871855,-0.8247899895070685,-1.4985895166638075,-0.8213262866369455
2.88642,36.47662,1,-0.2630633201771093,1.5847500850040828,-0.003513557410291956,1.53929268984764
1.63305,33.01781,0,0.8592731163579738,-0.6961677004273207,-1.756149438772145,-0.711941394851852
9.29466,37.03559,1,-0.7605443530738164,-0.40614551062767995,-0.6984396724930669,0.17757471834013255
6.22853,36.65769,1,0.49397303423092315,2.239737741246075,1.3009728793919102,2.320252694868422
5.57609,35.54871,0,0.4483105239650418,-0.10381342050305402,1.4277613363615895,-0.3470760956397499
2.5991,34.7133,0,1.0010672271836052,-0.6766151128527891,-0.11087961615301291,-0.7191091694522329
3.87373,36.09375,0,1.6691818510738687,2.239737741246075,0.03860176467567248,1.6232825136975189
6.43821,35.84272,0,0.739108615658286,-0.679602434378192,-0.010969622065359003,-0.7144869329624852
4.17963,36.63813,1,0.46513355406299806,2.239737741246075,-1.6957191287644962,2.320252694868422
4.28882,33.64183,0,0.1935617824817039,-0.6928871161478273,0.7519654365717116,-0.7341471690080981
10.83112,33.40681,0,-1.183523395536717,-0.5636605562626025,-0.010969622065359003,-0.7390615348859866
6.70235,36.57692,1,0.5324256744548231,2.239737741246075,0.00530430162859009,1.926398117305522
-0.92178,35.55524,1,-1.0008733544731918,-0.8094451392166911,1.5554753105137944,-0.7783604881722564
1.40718,34.83824,0,1.3855936294226059,-0.7652329869453198,-1.4559420887712176,-0.7874261890000507
8.73771,34.29426,1,-0.5899107620802598,-0.535545986835705,-0.6512325264959515,-0.6275824299063649
3.42718,36.49427,1,0.06618741174003494,2.239737741246075,1.0425000150627661,2.320252694868422
5.10841,34.39095,1,-0.6235568222761724,-0.8247899895070685,1.119180356337098,-0.6130993030805107
6.15229,34.82702,0,-0.8398529235356103,-0.2618305773910131,-1.4848760770869553,-0.4831178679800196
7.40749,34.03008,0,-1.193136555592692,-0.8247899895070685,-0.2685295441736967,-0.8425817395600093
2.22444,34.16748,0,2.116193793676707,-0.16630826251120692,1.3635163007609084,-0.38770793411957616
4.71393,35.47942,0,-0.2534501601211343,-0.8618359966351061,-0.883559530418752,-0.8843220392677109
1.46891,33.80073,0,2.056111543326863,-0.654259094049572,0.26642145849617077,-0.4051663418352165
10.20876,35.55254,1,-1.0801819249349855,-0.5305402928591091,0.861620286288034,-0.6425323557660801
9.67367,37.28048,0,-1.1234411451868733,-0.5632008537882438,1.407570090181053,-0.5492421860422166
2.50491,33.10065,0,0.6766230752944484,-0.7412253214939464,-1.601551749842138,-0.7390615348859866
3.45143,36.71125,1,-1.065762184851023,0.42889438581505523,0.01749299011182029,0.19855973308377886
9.24831,36.56327,1,-0.32554886054094695,1.347396433951131,-0.29628189292483625,1.4650097188451556
8.5427,33.3684,1,-1.145070755312817,-0.6458371821575064,-0.32579222132430535,-0.6966195553624693
7.30908,34.62714,1,-0.6115403722062036,-0.39514901048858014,0.25540712349677797,-0.36783559218155737
1.99448,34.59179,0,1.2486060986249619,-0.5886281585349264,-0.1470571892559465,-0.6508829890977357
0.55874,33.32422,0,1.9551733627391255,1.2859284614193767,1.648765252989612,0.6476727581083593
2.72135,36.55607,0,-1.116231275144892,-0.6766151128527891,0.7617099963189279,-0.7400644885265157
4.55064,36.71601,1,0.748721775714261,2.239737741246075,0.13340854341626518,2.320252694868422
-1.10403,35.51065,1,-0.7004621027239726,-0.06855370091524439,-1.1100021179902833,-0.41218693287625946
4.44982,35.87755,1,0.5516519945667732,-0.12430011804539104,1.6465683332069228,-0.2264799275833568
7.06207,36.49974,0,0.6718164952664609,2.239737741246075,0.19800612176725924,1.9303727770964922
0.16037,33.08152,0,1.5538239304021686,-0.6616620163699825,-1.5191544611184902,-0.7142022204547969
5.27839,34.74515,1,-0.7389147429478726,-0.4643099106538983,-1.756149438772145,-0.6756205372107583
10.21957,35.39442,0,-0.9624207142492918,-0.6986714470897822,1.5018831907186265,-0.6268295391346744
5.83933,36.25446,0,1.1428613380092367,2.239737741246075,0.7303332477188929,1.1261329857791171
8.85045,33.77949,0,-1.0056799345011793,-0.6569200975511835,0.7255327190974465,0.00232506412423318
6.92317,36.60532,0,-0.32074228051295944,1.7493311404967666,-1.1520409547208503,1.3857004954380343
10.07625,36.33511,0,-0.29430609035902816,0.16863776060228097,-0.7020047481107936,0.35307426653954727
5.24387,34.71735,1,-0.7701575131297914,-0.6953414738010312,1.6788433778958798,-0.7806692912808221
5.48915,36.50098,0,2.6569340468253015,2.239737741246075,1.5630300516331748,2.320252694868422
8.98671,35.93695,0,0.6357671450565546,0.09675658702191747,0.19506343278426477,0.10729691907704487
3.82416,36.81805,1,-0.6211535322621786,2.239737741246075,0.34994716510819973,1.2581209192592988
10.26064,35.00197,0,-0.8855154338014916,-0.7789992891133342,-0.010969622065359003,-0.6989545779174919
-1.25997,35.07658,0,-0.657202882472085,-0.7570555770188393,0.16776541000299983,-0.7779047370533008
-0.21214,35.01152,0,0.41947104379711675,-0.30149100661526007,-0.3421630461938545,-0.22222677589410983
7.67267,35.42374,0,1.6739884311018562,0.020818441382110437,1.6715892523319487,-0.2040561787697169
7.23878,34.57116,1,-0.8374496335216165,-0.7423685203908622,1.1882603907484082,-0.7247718943456342
3.75819,33.48485,0,0.6069276648886296,-0.5725331738873907,0.7332473841417486,-0.6529654436516225
10.40184,34.96999,1,-0.9648240042632855,-0.8287010282125248,-1.756149438772145,-0.8381764010837188
4.87377,34.58568,0,-0.4336969111706659,-0.3337118130178706,0.4623044480683189,-0.5849406308977187
4.32489,34.2103,0,-0.10684946926751535,-0.5135873292919577,-0.9099923218633801,-0.5120239421614918
4.43485,36.89654,1,-0.5658778619403223,2.05917470328313,-0.3678175954487967,1.4985742131969126
9.30501,35.04522,0,-0.2774830602610719,-0.7681172259766834,0.4253253321113375,-0.8213262866369455
-0.66685,35.08086,1,0.15030256222981633,-0.6365106323823055,-0.17678809727804118,-0.5675048819629671
2.7507,36.47145,1,-0.9864536143892293,-0.7570555770188393,0.16776541000299983,-0.7849602521718438
-0.26555,35.76459,1,-0.9960667744452043,-0.4094663630818068,-0.24123152139243173,-0.5412493784895022
7.35944,36.49158,0,-0.5754910219962973,0.005360488088905954,-1.2898562476812785,0.512575645824494
2.89202,36.59692,1,-1.1522806253547984,-0.7877444399719243,-0.2685295441736967,-0.8313412637199836
-0.20288,35.50283,1,-1.0297128346411168,1.0983960355015174,-1.7514814650412907,1.5006652386809618
8.5388,35.72027,0,0.3762118235452292,-0.037289403264788454,0.9625276967511014,-0.25721345355416786
2.69465,36.2716,1,0.47474671411897307,1.357746037343347,-1.1816493308365468,1.274480727946261
10.94879,33.44632,0,-1.1907332655786984,-0.8452684910953331,0.861620286288034,-0.8371392903865331
9.63024,35.91165,0,-0.2582567401491218,-0.6569200975511835,0.9977080014193477,-0.5649185721205112
6.32666,34.80213,0,-0.8999351738854541,-0.7252205989836185,-1.6200618715815576,-0.7287651174484008
8.35228,35.47215,1,1.1524744980652117,-0.25457101349508715,1.6275259947053333,-0.4056715904277036
2.75801,36.67139,1,-0.9816470343612418,1.1961988072233507,-0.01985701324551134,0.9082985032036632
9.54831,33.60397,0,-0.851869373605579,-0.5432020898750547,-0.09796320723806233,-0.6371871915757675
8.04505,35.38662,1,1.2726389987648994,0.6813166484110965,0.3239118164242581,0.6408022779722597
6.09544,35.23218,0,2.570415606321526,-0.33814069176260314,-0.7048244983503932,2.320252694868422
0.29478,33.42769,0,1.8830746623193129,-0.5264260208624176,1.538121271578538,-0.5993512777722829
-0.45388,35.69924,1,-0.9047417539134416,-0.4667316783861066,-0.5633785180602099,-0.4130076874004005
9.79839,35.4817,0,-0.6523963024440975,-0.7292993803857178,-0.010969622065359003,-0.6535938518661947
-0.26806,35.80895,1,-1.1498773353408045,0.312489826993393,0.5197943621742279,-0.13100246774110966
3.36751,33.48651,0,0.7895777059521548,-0.7955663855340371,-0.883559530418752,-0.8106990721090502
2.20132,34.17754,0,2.260391194516332,0.7817519287821525,1.6727390476552524,0.5055247961630096
4.15409,33.81059,0,0.39303485364318547,-0.4395586024598055,-0.478094387977673,-0.5263382962541676
1.35708,35.33971,1,1.1428613380092367,-0.7458657555159275,0.861620286288034,-0.590488232295673
6.8739,34.47677,0,-1.1570872053827859,-0.7252205989836185,-1.6200618715815576,-0.7704356780728735
