longitude,latitude,class,soil_unit_id,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,TEXTURE_SOTER_F,TEXTURE_SOTER_M,TEXTURE_SOTER_V
9.23018,35.09261,0,31925,-1.0628281883789983,0.7727657442081675,-0.3669283539059694,-0.31913359369818095,0.9656801666014964,1.0402039839237949,-0.4134986800396571,-0.75505932480988,0.7854596067716734,-0.5274820999644431,-1.3293579833295697,-0.15669980936332625,0.7071608794670933,0.11985534662188294,0.2205505130938207,0.7605188281628363,-0.36116292554754104,1.8990246869905636,-0.15077303445049048,-0.003445123352702821,1.9921827351121915,0,1,0
5.60547,33.50662,0,1315,0.17244388237703748,0.306072250606466,0.18825267871106754,-0.31913359369818095,0.15712229391428048,0.5944500116967795,-0.5039391599469484,-0.8548761906898202,1.414298069640483,-0.7653592050397718,-1.3293579833295697,-0.15669980936332625,0.906968004325713,1.3814280466806492,1.3938868265977944,1.0290505591774028,-0.36116292554754104,-0.13109487049127191,2.55428586760894,-0.5411557034614207,0.264563429046362,0,1,0
11.11005,33.48151,1,32037,-0.6510708314603197,-0.16062124299523553,-2.402592140168438,-2.0299785278170064,1.3699591029451041,0.8619023950329887,-0.2326198764704978,-1.3816201663664547,0.0667867106110413,-1.6436747370508356,-1.3293579833295697,-1.9489005624798945,0.6072573170377833,-1.2994139409442291,-1.0994528395981495,0.5367423856506975,-0.36116292554754104,0.8839649082496458,-0.6054047972695757,-0.6486978242906717,-1.4630558770194673,0,0,0
7.48122,36.53608,0,1129,-0.7883232837665459,-1.0940082301986387,0.835963883430944,1.1285044274792868,-1.4599934514601511,0.8619023950329887,0.8526540230671696,-0.29325634500715925,1.2346300597814872,-0.17981555338773145,-0.6673596287823333,0.3809604165716442,-0.04211583875273102,1.3814280466806492,1.3938868265977944,0.9842952706749751,-0.36116292554754104,0.8839649082496458,1.6222908839010055,1.5021444560816386,0.264563429046362,0,1,0
4.54391,36.71546,1,1524,-0.7883232837665459,-1.0940082301986387,0.835963883430944,1.1285044274792868,-1.4599934514601511,0.8619023950329887,0.8526540230671696,-0.29325634500715925,1.2346300597814872,-0.17981555338773145,-0.6673596287823333,0.3809604165716442,-0.04211583875273102,1.3814280466806492,1.3938868265977944,0.9842952706749751,-0.36116292554754104,0.8839649082496458,1.6222908839010055,1.5021444560816386,0.264563429046362,0,1,0
4.86043,36.09051,1,1772,0.035191430070811276,-0.705096985530554,0.18825267871106754,1.3917113404206447,-1.4599934514601511,0.5052992172513765,1.1239722284209086,-0.6925235934831518,1.414298069640483,-0.5274820999644431,-1.3293579833295697,1.2770607931299283,0.5073537546084734,1.6968212216953409,1.6872209049737878,0.9842952706749751,-0.36116292554754104,-0.13109487049127191,-0.6054047972695757,-0.4336135746196575,0.264563429046362,0,1,0
4.07055,34.12395,0,1315,0.17244388237703748,0.306072250606466,0.18825267871106754,-0.31913359369818095,0.15712229391428048,0.5944500116967795,-0.5039391599469484,-0.8548761906898202,1.414298069640483,-0.7653592050397718,-1.3293579833295697,-0.15669980936332625,0.906968004325713,1.3814280466806492,1.3938868265977944,1.0290505591774028,-0.36116292554754104,-0.13109487049127191,2.55428586760894,-0.5411557034614207,0.264563429046362,0,1,0
8.61479,36.75546,1,31820,0.3096963346832637,-0.3939679897960863,0.835963883430944,-0.05592668075682315,0.15712229391428048,0.23784577115386688,-0.2326198764704978,0.18538319990083627,-0.2027153041774522,0.35083332298061404,-0.005361274235096832,0.20174034125998738,0.2575948485351987,-0.43208270965382733,-0.3661176436581661,0.22345536613370315,-0.36116292554754104,-0.13109487049127191,-0.6054047972695757,0.9644339881480924,1.9921827351121915,0,1,0
3.24131,36.73895,1,1345,-0.7883232837665459,-1.0940082301986387,0.835963883430944,1.1285044274792868,-1.4599934514601511,0.8619023950329887,0.8526540230671696,-0.29325634500715925,1.2346300597814872,-0.17981555338773145,-0.6673596287823333,0.3809604165716442,-0.04211583875273102,1.3814280466806492,1.3938868265977944,0.9842952706749751,-0.36116292554754104,0.8839649082496458,1.6222908839010055,1.5021444560816386,0.264563429046362,0,1,0
-0.56537,34.28301,0,1767,-1.0628281883789983,-0.3939679897960863,0.835963883430944,-0.05592668075682315,0.15712229391428048,0.9510531894783918,-0.2326198764704978,-0.8572813835557497,1.414298069640483,-0.5457803220370059,-1.3293579833295697,0.20174034125998738,1.1067751291843329,1.3025797529269765,1.3938868265977944,0.8947846936701196,-0.36116292554754104,-0.13109487049127191,1.9632647060153197,-0.11098720411939242,1.9921827351121915,0,1,0
7.17928,34.43378,1,1838,0.17244388237703748,0.306072250606466,0.18825267871106754,-0.31913359369818095,0.15712229391428048,0.5944500116967795,-0.5039391599469484,-0.8548761906898202,1.414298069640483,-0.7653592050397718,-1.3293579833295697,-0.15669980936332625,0.906968004325713,1.3814280466806492,1.3938868265977944,1.0290505591774028,-0.36116292554754104,-0.13109487049127191,2.55428586760894,-0.5411557034614207,0.264563429046362,0,1,0
2.88642,36.47662,1,1127,-0.7883232837665459,-1.0940082301986387,0.835963883430944,1.1285044274792868,-1.4599934514601511,0.8619023950329887,0.8526540230671696,-0.29325634500715925,1.2346300597814872,-0.17981555338773145,-0.6673596287823333,0.3809604165716442,-0.04211583875273102,1.3814280466806492,1.3938868265977944,0.9842952706749751,-0.36116292554754104,0.8839649082496458,1.6222908839010055,1.5021444560816386,0.264563429046362,0,1,0
1.63305,33.01781,0,1315,0.17244388237703748,0.306072250606466,0.18825267871106754,-0.31913359369818095,0.15712229391428048,0.5944500116967795,-0.5039391599469484,-0.8548761906898202,1.414298069640483,-0.7653592050397718,-1.3293579833295697,-0.15669980936332625,0.906968004325713,1.3814280466806492,1.3938868265977944,1.0290505591774028,-0.36116292554754104,-0.13109487049127191,2.55428586760894,-0.5411557034614207,0.264563429046362,0,1,0
9.29466,37.03559,1,31820,0.3096963346832637,-0.3939679897960863,0.835963883430944,-0.05592668075682315,0.15712229391428048,0.23784577115386688,-0.2326198764704978,0.18538319990083627,-0.2027153041774522,0.35083332298061404,-0.005361274235096832,0.20174034125998738,0.2575948485351987,-0.43208270965382733,-0.3661176436581661,0.22345536613370315,-0.36116292554754104,-0.13109487049127191,-0.6054047972695757,0.9644339881480924,1.9921827351121915,0,1,0
6.22853,36.65769,1,1401,0.035191430070811276,-0.16062124299523553,0.9284940555337834,-0.5823405066395387,0.15712229391428048,0.059544182263060734,-0.865696767085267,0.7987152656510303,-0.47221774732827043,0.36913154505317675,1.9806337894066126,0.20174034125998738,0.20764306732054374,-0.5897792971611732,-0.4394511632521645,0.13394478912884764,-0.36116292554754104,-1.1461546492321897,-0.6054047972695757,-0.6486978242906717,-1.4630558770194673,0,1,0
5.57609,35.54871,0,1832,0.17244388237703748,0.306072250606466,0.18825267871106754,-0.31913359369818095,0.15712229391428048,0.5944500116967795,-0.5039391599469484,-0.8548761906898202,1.414298069640483,-0.7653592050397718,-1.3293579833295697,-0.15669980936332625,0.906968004325713,1.3814280466806492,1.3938868265977944,1.0290505591774028,-0.36116292554754104,-0.13109487049127191,2.55428586760894,-0.5411557034614207,0.264563429046362,0,1,0
