longitude,latitude,class,prec_winter,tmax_winter,tmin_winter,prec_spring,tmax_spring,tmin_spring,prec_summer,tmax_summer,tmin_summer,prec_autumn,tmax_autumn,tmin_autumn,elevation,slope,aspect,roughness,soil_unit_id,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
9.82563,36.81855,1,0.5507073271432462,0.5736239274749613,0.8436868998873199,0.3249216118056572,0.5100552749196472,0.2767501053778956,0.3016134226470514,0.3288740760180225,0.3802839556604315,0.4546829710310242,0.6477612634808014,0.7824932044526783,-0.91016716,-0.62688243,-1.7616762,-0.65415657,31835.0,-1.2000806406852245,-0.627314736596937,1.0210242276366228,0.0756767757138557,0.1571222939142804,M,0.3269965655992699,-0.1421804746859181,-0.4303542020777994,0.1566211439028638,-0.1615173313151687,-0.6673596287823333,0.3809604165716442,0.6572090982524383,-0.1955378283928086,-0.146117084876171,0.4472318086458419,-0.361162925547541,-0.1310948704912719,0.75849049118768,-0.1109872041193924,1.992182735112192
3.0819,35.80751,0,-0.0766750651322705,-1.1708620247219237,-0.266072263280268,0.0411884988131414,-0.8178236654013981,-0.7697310452174154,0.3063483554669996,-0.5426461954230658,-0.907565437963051,0.0285555453518326,-0.9938443769242205,-0.8914392703868865,0.9432658,0.09031038,-1.5553938,-0.21820965,320.0,0.0351914300708112,-0.705096985530554,0.1882526787110675,1.3917113404206447,-1.4599934514601511,M,0.5052992172513765,1.1239722284209086,-0.6925235934831518,1.414298069640483,-0.5274820999644431,-1.3293579833295697,1.2770607931299285,0.5073537546084734,1.6968212216953409,1.6872209049737878,0.9842952706749752,-0.361162925547541,-0.1310948704912719,-0.6054047972695757,-0.4336135746196575,0.264563429046362
7.24027,34.56991,1,-0.8756599460711465,1.2346205551340732,0.9759379900685844,-0.8019836458811369,2.634661839942505,1.877710138767612,-0.5751942599702486,2.366601564694732,3.0696162579457136,-0.7733244586792078,1.7496608968292202,1.5238060462832637,-0.62447876,-0.52256197,-0.34676144,-0.54574394,1838.0,0.1724438823770374,0.306072250606466,0.1882526787110675,-0.3191335936981809,0.1571222939142804,M,0.5944500116967795,-0.5039391599469484,-0.8548761906898202,1.414298069640483,-0.7653592050397718,-1.3293579833295697,-0.1566998093633262,0.906968004325713,1.3814280466806492,1.3938868265977944,1.0290505591774028,-0.361162925547541,-0.1310948704912719,2.55428586760894,-0.5411557034614207,0.264563429046362
1.60481,35.55047,0,0.0332738593325043,-0.9051004953535624,-0.3868232659647908,0.2123820728831182,-0.4611931717400537,-1.1289708180328246,0.1242718934428733,0.4981622387796385,-0.4151522751517229,0.0675248059647353,-0.5290974938280966,-1.04289028210521,0.89368355,0.5265259,-0.061822202,0.56254387,1118.0,-0.7883232837665459,-1.094008230198639,0.835963883430944,1.1285044274792868,-1.4599934514601511,M,0.8619023950329887,0.8526540230671696,-0.2932563450071592,1.2346300597814872,-0.1798155533877314,-0.6673596287823333,0.3809604165716442,-0.042115838752731,1.3814280466806492,1.3938868265977944,0.9842952706749752,-0.361162925547541,0.8839649082496458,1.6222908839010055,1.5021444560816386,0.264563429046362
6.76514,36.55581,1,1.6224522144312163,-0.7415549688132616,0.2169316943347449,1.4498399439572731,-1.1365145777911625,-0.7775406360561864,1.008397054318053,-0.7683638254981714,-0.954912882646179,1.1497142441101926,-0.7389831552960406,-0.4291150793399004,0.59618986,0.6823953,-1.1700774,0.44247004,1129.0,-0.7883232837665459,-1.094008230198639,0.835963883430944,1.1285044274792868,-1.4599934514601511,M,0.8619023950329887,0.8526540230671696,-0.2932563450071592,1.2346300597814872,-0.1798155533877314,-0.6673596287823333,0.3809604165716442,-0.042115838752731,1.3814280466806492,1.3938868265977944,0.9842952706749752,-0.361162925547541,0.8839649082496458,1.6222908839010055,1.5021444560816386,0.264563429046362
10.90887,33.60776,0,-1.0448077172249548,-0.2713614987759428,-1.5598329874786032,-1.3021327929332518,-0.2487326237832614,-0.2582048282487502,-1.4046534687416627,-0.3733582120455921,-0.1405372133899831,-1.2124416619733185,-0.2592444902997959,-0.1820107290461763,-0.9762769,-0.62688243,-0.84816474,-0.6624394,32028.0,0.4469487869894898,-0.1606212429952355,-0.2743981818031298,1.1285044274792868,-1.4599934514601511,M,-0.4753605844093576,0.9430934248517494,-0.8681048948149447,1.6838005127913012,-0.2347102196054196,-0.6673596287823333,0.3809604165716442,-0.5416336508992805,-0.0378412408854628,2.93389073807176,0.805274116665264,-0.361162925547541,-0.1310948704912719,-0.6054047972695757,-0.4336135746196575,0.264563429046362
3.1349,36.60116,1,0.8451603160212702,1.2209917395933272,0.878187186368612,1.1610997217886332,0.2520675984916454,0.1596066710435526,0.1737725673800478,-0.5175665584059118,-0.1121289362269017,1.2552164708654028,0.6927367164111015,0.4795911240022342,-0.8393353,-0.62688243,-0.84816474,-0.59099483,1345.0,-0.7883232837665459,-1.094008230198639,0.835963883430944,1.1285044274792868,-1.4599934514601511,M,0.8619023950329887,0.8526540230671696,-0.2932563450071592,1.2346300597814872,-0.1798155533877314,-0.6673596287823333,0.3809604165716442,-0.042115838752731,1.3814280466806492,1.3938868265977944,0.9842952706749752,-0.361162925547541,0.8839649082496458,1.6222908839010055,1.5021444560816386,0.264563429046362
3.84587,36.39551,1,1.0414813336750357,-0.6120813024101264,0.044430299628533,1.1291499554689968,-0.5218962629744901,-0.2933479032357199,0.7144060515687265,-0.0786714456352048,0.0583216749855599,1.182030231525204,-0.1767895647475377,-0.1740396491725575,0.409666,0.8829069,0.8820223,0.35213768,1524.0,-0.7883232837665459,-1.094008230198639,0.835963883430944,1.1285044274792868,-1.4599934514601511,M,0.8619023950329887,0.8526540230671696,-0.2932563450071592,1.2346300597814872,-0.1798155533877314,-0.6673596287823333,0.3809604165716442,-0.042115838752731,1.3814280466806492,1.3938868265977944,0.9842952706749752,-0.361162925547541,0.8839649082496458,1.6222908839010055,1.5021444560816386,0.264563429046362
1.63896,36.37794,0,0.6451286573645798,-0.2645471397459423,0.400933265647379,0.8352438444862441,-0.3321993335260528,-0.2933478473773856,-0.2700118254693518,0.1783956559679532,0.1246078808027435,0.7600215341183681,-0.2592445617864211,-0.2218663374648572,0.34119523,1.5860875,-0.31478134,2.224915,1117.0,-0.7883232837665459,-1.094008230198639,0.835963883430944,1.1285044274792868,-1.4599934514601511,M,0.8619023950329887,0.8526540230671696,-0.2932563450071592,1.2346300597814872,-0.1798155533877314,-0.6673596287823333,0.3809604165716442,-0.042115838752731,1.3814280466806492,1.3938868265977944,0.9842952706749752,-0.361162925547541,0.8839649082496458,1.6222908839010055,1.5021444560816386,0.264563429046362
2.66485,35.50831,0,-0.3015394091444672,-0.5439373871743043,-0.001570094913273,-0.1107716551956545,-0.1349143503323381,-0.5588729118261544,0.4079323565355892,0.0341873694023488,-0.5856027960561884,-0.1590831243950406,-0.4316505719158421,-0.5805660720536262,0.67410487,-0.4509079,-0.41908142,-0.5277562,1841.0,0.0351914300708112,-0.705096985530554,0.1882526787110675,1.3917113404206447,-1.4599934514601511,M,0.5052992172513765,1.1239722284209086,-0.6925235934831518,1.414298069640483,-0.5274820999644431,-1.3293579833295697,1.2770607931299285,0.5073537546084734,1.6968212216953409,1.6872209049737878,0.9842952706749752,-0.361162925547541,-0.1310948704912719,-0.6054047972695757,-0.4336135746196575,0.264563429046362
